Scenario - test												
Logfile written - 11/09/2022 15:44:03												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
18	1	Sound	P2/both1	25160	25000	1			25000		other	0
18	1	Response	53	31093	30933	1						
18	1	Response	53	37093	36933	1						
18	1	Response	53	43333	43173	1						
18	1	Response	53	48613	48453	1						
18	1	Response	53	54374	54213	2						
18	1	Response	53	60773	60613	1						
18	1	Response	53	67013	66852	1						
18	1	Sound	test06	71660	71500	1			71500		other	0
18	1	Picture	3-224-1-3	130478	130318	7	5166	7	130000	5000	hit	11
18	1	Response	62	144133	143973	2						
18	2	Sound	P2/both	175976	25000	1			25000		other	0
18	2	Response	53	181333	30357	2						
18	2	Response	53	186933	35957	1						
18	2	Response	53	192693	41717	2						
18	2	Response	53	199253	48277	1						
18	2	Response	53	204773	53797	1						
18	2	Response	53	211253	60277	1						
18	2	Response	53	217093	66117	1						
18	2	Sound	f17	222476	71500	1			71500		other	0
18	2	Picture	2-114-2-2	281294	130318	7	5166	7	130000	5000	hit	22
18	2	Response	61	291413	140437	1						
18	3	Response	53	325893	24102	1						
18	3	Sound	P2/both	326791	25000	1			25000		other	0
18	3	Response	53	332933	31142	1						
18	3	Response	53	338773	36982	2						
18	3	Response	53	344373	42582	1						
18	3	Response	53	350133	48342	1						
18	3	Response	53	355733	53942	1						
18	3	Response	53	361973	60182	1						
18	3	Response	53	367413	65622	3						
18	3	Sound	f02	373291	71500	1			71500		other	0
18	3	Picture	3-114-2-3	432109	130318	7	5166	7	130000	5000	hit	34
18	3	Response	61	443653	141862	1						
18	4	Sound	P2/both	477606	25000	1			25000		other	0
18	4	Response	53	478373	25767	1						
18	4	Response	53	483413	30807	1						
18	4	Response	53	488933	36327	1						
18	4	Response	53	495013	42407	1						
18	4	Response	53	501413	48807	1						
18	4	Response	53	507093	54487	1						
18	4	Response	53	512693	60087	1						
18	4	Response	53	518453	65847	2						
18	4	Sound	n09	524106	71500	1			71500		other	0
18	4	Picture	2-214-2-2	582924	130318	7	5166	7	130000	5000	hit	46
18	4	Response	61	595013	142407	1						
18	5	Sound	P0/none1	628421	25000	1			25000		other	0
18	5	Sound	test15	674921	71500	1			71500		other	0
18	5	Picture	2-211-1-2	733739	130318	7	5166	7	130000	5000	hit	50
18	5	Response	61	746213	142791	1						
18	6	Sound	P0/none	779237	25000	1			25000		other	0
18	6	Sound	test07	825737	71500	1			71500		other	0
18	6	Picture	3-221-1-3	884555	130318	7	5166	7	130000	5000	hit	54
18	6	Response	62	901812	147576	1						
18	7	Sound	P0/none	930052	25000	1			25000		other	0
18	7	Sound	f16	976552	71500	1			71500		other	0
18	7	Picture	2-121-1-2	1035370	130318	7	5166	7	130000	5000	hit	58
18	7	Response	62	1048052	143000	1						
18	8	Sound	P0/none	1080867	25000	1			25000		other	0
18	8	Sound	f15	1127367	71500	1			71500		other	0
18	8	Picture	2-111-2-2	1186185	130318	7	5166	7	130000	5000	hit	62
18	8	Response	61	1196932	141065	1						
18	9	Sound	P1/tapping1	1231682	25000	1			25000		other	0
18	9	Response	53	1235812	29130	1						
18	9	Response	53	1241252	34569	1						
18	9	Response	53	1246852	40170	1						
18	9	Response	53	1252612	45930	3						
18	9	Response	53	1258212	51530	1						
18	9	Response	53	1264372	57690	1						
18	9	Response	53	1269413	62731	1						
18	9	Response	53	1274132	67450	1						
18	9	Sound	test24	1278182	71500	1			71500		other	0
18	9	Picture	2-212-2-2	1337000	130318	7	5166	7	130000	5000	hit	74
18	9	Response	61	1348532	141849	1						
18	10	Sound	P1/tapping	1382498	25000	1			25000		other	0
18	10	Response	53	1383972	26474	1						
18	10	Response	53	1388852	31354	1						
18	10	Response	53	1394852	37354	1						
18	10	Response	53	1399652	42154	1						
18	10	Response	53	1405812	48314	2						
