Scenario - test												
Logfile written - 11/09/2022 16:07:25												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
18	1	Sound	P2/beat1	25160	25000	1			25000		other	0
18	1	Sound	n05	71660	71500	1			71500		other	0
18	1	Picture	3-113-1-3	130478	130318	7	5166	7	130000	5000	incorrect	4
18	1	Response	52	143467	143306	1						
18	2	Sound	P2/beat	175975	25000	1			25000		other	0
18	2	Sound	f05	222475	71500	1			71500		other	0
18	2	Picture	3-113-1-3	281293	130318	7	5166	7	130000	5000	hit	8
18	2	Response	61	291147	140171	1						
18	3	Sound	P2/beat	326791	25000	1			25000		other	0
18	3	Sound	n01	373290	71500	1			71500		other	0
18	3	Picture	3-223-1-3	432108	130317	7	5166	7	130000	5000	hit	12
18	3	Response	62	443866	142076	1						
18	4	Sound	P2/beat	477605	25000	1			25000		other	0
18	4	Sound	test15	524105	71500	1			71500		other	0
18	4	Picture	2-223-1-2	582923	130318	7	5166	7	130000	5000	hit	16
18	4	Response	62	599386	146781	1						
18	5	Sound	P1/tapping1	628420	25000	1			25000		other	0
18	5	Response	53	634266	30845	1						
18	5	Response	53	640346	36925	1						
18	5	Response	53	645946	42525	1						
18	5	Response	53	652986	49565	2						
18	5	Response	53	658266	54845	1						
18	5	Response	53	663786	60365	1						
18	5	Response	53	669546	66125	1						
18	5	Sound	f08	674921	71500	1			71500		other	0
18	5	Picture	3-122-2-3	733738	130317	7	5166	7	130000	5000	hit	27
18	5	Response	62	751226	147806	1						
18	6	Sound	P1/tapping	779235	25000	1			25000		other	0
18	6	Response	53	784826	30590	2						
18	6	Response	53	790826	36591	1						
18	6	Response	53	796746	42510	1						
18	6	Response	53	802106	47871	1						
18	6	Response	53	807786	53550	1						
18	6	Response	53	813386	59150	1						
18	6	Response	53	818506	64270	1						
18	6	Response	53	823386	69151	2						
18	6	Sound	f01	825735	71500	1			71500		other	0
18	6	Picture	2-122-1-2	884553	130318	7	5166	7	130000	5000	hit	39
18	6	Response	62	897707	143471	3						
18	7	Sound	P1/tapping	930050	25000	1			25000		other	0
18	7	Response	53	934507	29456	2						
18	7	Response	53	940026	34976	2						
18	7	Response	53	945546	40495	1						
18	7	Response	53	950826	45775	1						
18	7	Response	53	956186	51135	1						
18	7	Response	53	962186	57135	1						
18	7	Response	53	967786	62735	2						
18	7	Response	53	976106	71055	1						
18	7	Sound	n03	976551	71500	1			71500		other	0
18	7	Picture	3-122-1-3	1035368	130317	7	5166	7	130000	5000	hit	51
18	7	Response	62	1049946	144895	1						
18	8	Sound	P1/tapping	1080865	25000	1			25000		other	0
18	8	Response	53	1086106	30240	1						
18	8	Response	53	1091545	35680	2						
18	8	Response	53	1097386	41520	2						
18	8	Response	53	1102826	46960	1						
18	8	Response	53	1108746	52881	2						
18	8	Response	53	1114106	58241	3						
18	8	Response	53	1119146	63281	3						
18	8	Sound	test18	1127365	71500	1			71500		other	0
18	8	Picture	3-212-1-3	1186183	130317	7	5166	7	130000	5000	hit	62
18	8	Response	61	1198265	142400	2						
18	9	Sound	P2/both1	1231680	25000	1			25000		other	0
18	9	Response	53	1237145	30465	1						
18	9	Response	53	1242906	36226	1						
18	9	Response	53	1249066	42386	2						
18	9	Response	53	1254985	48305	1						
18	9	Response	53	1260586	53905	1						
18	9	Response	53	1266105	59425	1						
18	9	Response	53	1272427	65746	3						
18	9	Sound	test13	1278180	71500	1			71500		other	0
18	9	Response	53	1278986	72305	1						
18	9	Picture	3-214-1-3	1336998	130317	7	5166	7	130000	5000	incorrect	74
18	9	Response	52	1351066	144385	1						
18	10	Sound	P2/both	1382495	25000	1			25000		other	0
18	10	Sound	test04	1428995	71500	1			71500		other	0
18	10	Picture	2-224-1-2	1487813	130318	7	5166	7	130000	5000	incorrect	78
18	10	Response	51	1503225	145730	1						
18	11	Sound	P2/both	1533310	25000	1			25000		other	0
18	11	Response	53	1534746	26435	1						
18	11	Response	53	1539865	31555	1						
18	11	Response	53	1545066	36756	3						
18	11	Response	53	1550905	42595	1						
18	11	Response	53	1556505	48195	2						
18	11	Response	53	1562425	54114	1						
18	11	Response	53	1568345	60035	1						
18	11	Response	53	1574185	65875	1						
18	11	Sound	f15	1579810	71500	1			71500		other	0
18	11	Picture	3-124-1-3	1638628	130317	7	5166	7	130000	5000	hit	90
18	11	Response	62	1649385	141075	2						
18	12	Sound	P2/both	1684125	25000	1			25000		other	0
18	12	Response	53	1685945	26820	1						
18	12	Response	53	1690665	31540	1						
18	12	Response	53	1696025	36899	1						
18	12	Response	53	1701706	42581	3						
18	12	Response	53	1707705	48580	1						
18	12	Response	53	1712905	53780	2						
18	12	Response	53	1718665	59540	1						
18	12	Response	53	1725065	65940	1						
18	12	Sound	f21	1730625	71500	1			71500		other	0
18	12	Picture	3-124-1-3	1789443	130317	7	5166	7	130000	5000	hit	102
18	12	Response	62	1802905	143780	1						
18	13	Sound	P0/none1	1834940	25000	1			25000		other	0
18	13	Sound	n07	1881440	71500	1			71500		other	0
18	13	Picture	2-221-1-2	1940258	130318	7	5166	7	130000	5000	incorrect	106
18	13	Response	51	1950105	140164	1						
18	14	Sound	P0/none	1985755	25000	1			25000		other	0
18	14	Sound	n04	2032255	71500	1			71500		other	0
18	14	Picture	2-211-1-2	2091073	130317	7	5166	7	130000	5000	hit	110
18	14	Response	61	2100985	140229	2						
18	15	Sound	P0/none	2136570	25000	1			25000		other	0
18	15	Sound	f03	2183070	71500	1			71500		other	0
18	15	Picture	2-111-1-2	2241888	130318	7	5166	7	130000	5000	hit	114
18	15	Response	61	2255545	143974	1						
18	16	Sound	P0/none	2287385	25000	1			25000		other	0
18	16	Sound	test05	2333885	71500	1			71500		other	0
18	16	Picture	2-211-1-2	2392703	130317	7	5166	7	130000	5000	hit	118
18	16	Response	61	2402745	140359	1						
18	17	Sound	P2/beat1	2438200	25000	1			25000		other	0
18	17	Sound	test16	2484700	71500	1			71500		other	0
18	17	Picture	3-213-1-3	2543518	130317	7	5166	7	130000	5000	hit	122
18	17	Response	61	2553464	140264	1						
18	18	Sound	P2/beat	2589015	25000	1			25000		other	0
18	18	Sound	f11	2635515	71500	1			71500		other	0
18	18	Picture	3-113-1-3	2694333	130317	7	5166	7	130000	5000	hit	126
18	18	Response	61	2704344	140329	1						
18	19	Sound	P2/beat	2739830	25000	1			25000		other	0
18	19	Sound	test07	2786330	71500	1			71500		other	0
18	19	Picture	2-223-1-2	2845148	130317	7	5166	7	130000	5000	hit	130
18	19	Response	62	2858264	143433	1						
18	20	Sound	P2/beat	2890645	25000	1			25000		other	0
18	20	Sound	f23	2937146	71500	1			71500		other	0
18	20	Picture	2-113-1-2	2995963	130317	7	5166	7	130000	5000	hit	134
18	20	Response	61	3008264	142618	1						
18	21	Sound	P0/none1	3041461	25000	1			25000		other	0
18	21	Sound	test23	3087961	71500	1			71500		other	0
18	21	Picture	2-221-2-2	3146778	130317	7	5166	7	130000	5000	hit	138
18	21	Response	62	3157944	141483	1						
18	22	Sound	P0/none	3192276	25000	1			25000		other	0
18	22	Sound	f24	3238775	71500	1			71500		other	0
18	22	Picture	3-121-1-3	3297593	130317	7	5166	7	130000	5000	hit	142
18	22	Response	62	3312344	145068	1						
18	23	Sound	P0/none	3343090	25000	1			25000		other	0
18	23	Sound	n06	3389591	71500	1			71500		other	0
18	23	Picture	3-211-1-3	3448408	130318	7	5166	7	130000	5000	hit	146
18	23	Response	61	3460024	141933	1						
18	24	Sound	P0/none	3493905	25000	1			25000		other	0
18	24	Sound	test24	3540406	71500	1			71500		other	0
18	24	Picture	2-221-1-2	3599223	130318	7	5166	7	130000	5000	hit	150
18	24	Response	62	3612503	143598	1						
18	25	Sound	P1/tapping1	3644721	25000	1			25000		other	0
18	25	Response	53	3648823	29103	1						
18	25	Response	53	3654024	34303	1						
18	25	Response	53	3659384	39663	2						
18	25	Response	53	3664743	45023	1						
18	25	Response	53	3670743	51023	1						
18	25	Response	53	3675943	56223	1						
18	25	Response	53	3681223	61503	1						
18	25	Response	53	3685943	66223	1						
18	25	Sound	test02	3691220	71500	1			71500		other	0
18	25	Picture	2-212-1-2	3750038	130318	7	5166	7	130000	5000	hit	162
18	25	Response	61	3766263	146542	1						
18	26	Sound	P1/tapping	3795535	25000	1			25000		other	0
18	26	Response	53	3799703	29167	1						
18	26	Response	53	3804983	34447	1						
18	26	Response	53	3810263	39727	1						
18	26	Response	53	3815623	45087	1						
18	26	Response	53	3820983	50447	2						
18	26	Response	53	3826024	55488	1						
18	26	Response	53	3831223	60687	1						
18	26	Response	53	3836663	66127	2						
18	26	Response	53	3841223	70687	1						
18	26	Sound	f14	3842036	71500	1			71500		other	0
18	26	Picture	2-122-2-2	3900853	130318	7	5166	7	130000	5000	hit	175
18	26	Response	62	3913143	142607	2						
18	27	Sound	P1/tapping	3946351	25000	1			25000		other	0
18	27	Response	53	3950583	29232	1						
18	27	Response	53	3956503	35152	1						
18	27	Response	53	3962103	40752	1						
18	27	Response	53	3967303	45952	2						
18	27	Response	53	3972663	51312	1						
18	27	Response	53	3977703	56352	1						
18	27	Response	53	3983064	61713	2						
18	27	Response	53	3988263	66912	1						
18	27	Sound	f17	3992851	71500	1			71500		other	0
18	27	Picture	3-122-1-3	4051668	130318	7	5166	7	130000	5000	hit	187
18	27	Response	62	4066183	144832	1						
18	28	Sound	P1/tapping	4097166	25000	1			25000		other	0
18	28	Response	53	4101303	29137	1						
18	28	Response	53	4106583	34417	1						
18	28	Response	53	4112423	40257	2						
