Scenario - test												
Logfile written - 11/09/2022 16:28:24												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
												
18	1	Sound	P1/tapping1	25160	25000	1			25000		other	0
18	1	Response	53	29997	29836	1						
18	1	Response	53	36157	35996	1						
18	1	Response	53	41597	41437	2						
18	1	Response	53	47117	46956	1						
18	1	Response	53	52876	52716	1						
18	1	Response	53	58397	58236	2						
18	1	Response	53	63756	63596	2						
18	1	Response	53	68637	68476	3						
18	1	Sound	n05	71660	71500	1			71500		other	0
18	1	Picture	2-122-2-2	130478	130318	7	5166	7	130000	5000	hit	12
18	1	Response	62	143436	143276	1						
18	2	Sound	P1/tapping	175976	25000	1			25000		other	0
18	2	Response	53	181917	30941	1						
18	2	Response	53	188477	37501	1						
18	2	Response	53	194317	43341	1						
18	2	Response	53	199837	48861	3						
18	2	Response	53	205997	55021	1						
18	2	Response	53	211597	60621	1						
18	2	Response	53	217437	66461	1						
18	2	Sound	f18	222476	71500	1			71500		other	0
18	2	Picture	3-122-1-3	281293	130317	7	5166	7	130000	5000	hit	23
18	2	Response	62	291516	140541	1						
18	3	Sound	P1/tapping	326791	25000	1			25000		other	0
18	3	Response	53	328157	26366	1						
18	3	Response	53	333837	32046	1						
18	3	Response	53	340317	38526	1						
18	3	Response	53	346157	44366	1						
18	3	Response	53	351837	50046	1						
18	3	Response	53	358397	56606	2						
18	3	Response	53	364156	62366	1						
18	3	Response	53	370477	68686	1						
18	3	Sound	f09	373290	71500	1			71500		other	0
18	3	Picture	2-122-1-2	432108	130317	7	5166	7	130000	5000	hit	35
18	3	Response	62	443516	141725	1						
18	4	Sound	P1/tapping	477606	25000	1			25000		other	0
18	4	Response	53	479276	26670	1						
18	4	Response	53	485196	32590	2						
18	4	Response	53	491437	38831	3						
18	4	Response	53	496876	44270	1						
18	4	Response	53	502556	49951	2						
18	4	Response	53	508076	55470	2						
18	4	Response	53	513436	60830	2						
18	4	Response	53	518636	66030	1						
18	4	Sound	f06	524106	71500	1			71500		other	0
18	4	Picture	3-122-1-3	582923	130317	7	5166	7	130000	5000	hit	47
18	4	Response	62	597596	144991	2						
18	5	Sound	P2/both1	628421	25000	1			25000		other	0
18	5	Response	53	633916	30495	1						
18	5	Response	53	639516	36096	1						
18	5	Response	53	645676	42255	2						
