Scenario - test												
Logfile written - 11/09/2022 15:26:11												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
18	19	Response	53	2769548	54551	1						
18	19	Response	53	2775548	60551	1						
18	19	Response	53	2781228	66231	1						
18	19	Sound	f19	2786497	71500	1			71500		other	0
18	19	Picture	3-114-1-3	2845315	130318	7	5166	7	130000	5000	hit	130
18	19	Response	61	2856588	141591	1						
18	20	Sound	P2/both	2890811	24999	1			25000		other	0
18	20	Response	53	2892668	26856	1						
18	20	Response	53	2896988	31176	2						
18	20	Response	53	2902908	37096	2						
18	20	Response	53	2908588	42776	1						
18	20	Response	53	2914508	48696	2						
18	20	Response	53	2919948	54136	2						
18	20	Response	53	2926108	60296	2						
18	20	Response	53	2932028	66216	2						
18	20	Sound	test16	2937312	71500	1			71500		other	0
18	20	Picture	3-224-1-3	2996130	130318	7	5166	7	130000	5000	hit	142
18	20	Response	62	3012108	146296	1						
18	21	Sound	P1/tapping1	3041626	24999	1			25000		other	0
18	21	Response	53	3043788	27160	1						
18	21	Response	53	3048508	31880	1						
18	21	Response	53	3054508	37881	2						
18	21	Response	53	3059708	43081	1						
18	21	Response	53	3065708	49080	1						
18	21	Response	53	3070909	54282	2						
18	21	Response	53	3076108	59480	1						
18	21	Response	53	3081468	64840	2						
18	21	Response	53	3086268	69640	1						
18	21	Sound	test05	3088127	71500	1			71500		other	0
18	21	Picture	2-222-1-2	3146945	130317	7	5166	7	130000	5000	hit	155
18	21	Response	62	3163228	146601	1						
18	22	Sound	P1/tapping	3192442	24999	1			25000		other	0
18	22	Response	53	3194508	27066	1						
18	22	Response	53	3199308	31866	2						
18	22	Response	53	3204829	37386	2						
18	22	Response	53	3209548	42106	1						
18	22	Response	53	3214988	47546	1						
18	22	Response	53	3219948	52506	1						
18	22	Response	53	3225148	57706	2						
18	22	Response	53	3230348	62906	1						
18	22	Response	53	3235228	67786	1						
18	22	Sound	test08	3238942	71500	1			71500		other	0
18	22	Picture	2-212-1-2	3297760	130318	7	5166	7	130000	5000	incorrect	168
18	22	Response	52	3313628	146185	1						
18	23	Sound	P1/tapping	3343257	24999	1			25000		other	0
18	23	Response	53	3345628	27371	1						
18	23	Response	53	3350348	32090	2						
18	23	Response	53	3355868	37610	1						
18	23	Response	53	3360668	42410	1						
18	23	Response	53	3365388	47130	2						
18	23	Response	53	3371068	52810	1						
18	23	Response	53	3375868	57610	2						
18	23	Response	53	3381068	62810	1						
18	23	Response	53	3386348	68090	1						
18	23	Sound	test14	3389757	71500	1			71500		other	0
18	23	Picture	3-212-1-3	3448575	130317	7	5166	7	130000	5000	hit	181
18	23	Response	61	3461068	142810	1						
18	24	Sound	P1/tapping	3494072	24999	1			25000		other	0
18	24	Response	53	3496348	27275	2						
18	24	Response	53	3500827	31755	2						
18	24	Response	53	3506747	37675	1						
18	24	Response	53	3511708	42636	2						
18	24	Response	53	3516427	47355	1						
18	24	Response	53	3521867	52795	1						
18	24	Response	53	3526668	57595	1						
18	24	Response	53	3531308	62235	1						
18	24	Response	53	3536508	67435	1						
18	24	Sound	test19	3540572	71499	1			71500		other	0
18	24	Picture	3-212-1-3	3599390	130318	7	5166	7	130000	5000	hit	194
18	24	Response	61	3611708	142635	1						
18	25	Sound	P2/beat1	3644887	24999	1			25000		other	0
18	25	Sound	f15	3691387	71500	1			71500		other	0
18	25	Picture	3-113-1-3	3750205	130318	7	5166	7	130000	5000	hit	198
18	25	Response	61	3762427	142540	1						
18	26	Sound	P2/beat	3795702	24999	1			25000		other	0
18	26	Sound	f16	3842202	71500	1			71500		other	0
18	26	Picture	3-123-1-3	3901020	130318	7	5166	7	130000	5000	hit	202
18	26	Response	62	3914507	143805	2						
18	27	Sound	P2/beat	3946517	24999	1			25000		other	0
18	27	Sound	f18	3993017	71500	1			71500		other	0
18	27	Picture	3-113-1-3	4051835	130318	7	5166	7	130000	5000	hit	206
18	27	Response	61	4061867	140349	2						
18	28	Sound	P2/beat	4097332	24999	1			25000		other	0
18	28	Sound	test18	4143833	71500	1			71500		other	0
18	28	Picture	3-223-1-3	4202650	130317	7	5166	7	130000	5000	incorrect	210
18	28	Response	51	4215387	143054	2						
18	29	Sound	P2/both1	4248147	24999	1			25000		other	0
18	29	Response	53	4250187	27039	1						
18	29	Response	53	4254747	31599	1						
18	29	Response	53	4260347	37199	1						
18	29	Response	53	4266427	43279	1						
18	29	Response	53	4271867	48719	1						
18	29	Response	53	4277787	54639	1						
18	29	Response	53	4283547	60399	1						
18	29	Response	53	4288987	65839	1						
18	29	Sound	f10	4294648	71500	1			71500		other	0
18	29	Response	53	4295227	72079	2						
18	29	Picture	2-114-1-2	4353466	130318	7	5166	7	130000	5000	hit	223
18	29	Response	61	4364667	141519	1						
18	30	Sound	P2/both	4398962	24999	1			25000		other	0
18	30	Response	53	4400587	26623	1						
18	30	Response	53	4405226	31263	1						
18	30	Response	53	4410986	37023	2						
18	30	Response	53	4416507	42543	1						
18	30	Response	53	4422426	48463	1						
18	30	Response	53	4427706	53743	2						
18	30	Response	53	4433946	59983	1						
18	30	Response	53	4439787	65823	2						
18	30	Sound	f12	4445463	71499	1			71500		other	0
18	30	Picture	2-114-1-2	4504281	130317	7	5166	7	130000	5000	incorrect	235
18	30	Response	52	4518267	144303	1						
18	31	Sound	P2/both	4549778	24999	1			25000		other	0
18	31	Response	53	4551467	26689	2						
18	31	Response	53	4556507	31728	1						
18	31	Response	53	4561627	36848	1						
18	31	Response	53	4566586	41808	1						
18	31	Response	53	4572747	47968	1						
18	31	Response	53	4578347	53568	2						
18	31	Response	53	4584747	59969	2						
18	31	Response	53	4590587	65808	1						
18	31	Sound	n05	4596278	71500	1			71500		other	0
18	31	Picture	3-124-1-3	4655096	130318	7	5166	7	130000	5000	hit	247
18	31	Response	62	4671947	147168	1						
18	32	Sound	P2/both	4700593	24999	1			25000		other	0
18	32	Response	53	4702506	26913	1						
18	32	Response	53	4707226	31633	1						
18	32	Response	53	4713226	37633	1						
18	32	Response	53	4718026	42433	2						
18	32	Response	53	4723706	48113	1						
18	32	Response	53	4729946	54353	2						
18	32	Response	53	4735707	60113	2						
18	32	Response	53	4741306	65713	2						
18	32	Sound	f13	4747093	71499	1			71500		other	0
18	32	Response	53	4747386	71793	1						
18	32	Picture	3-124-1-3	4805911	130318	7	5166	8	130000	5000	hit	260
18	32	Response	62	4822906	147313	1						
18	33	Sound	P0/none1	4851408	24999	1			25000		other	0
18	33	Sound	n09	4897908	71500	1			71500		other	0
18	33	Picture	3-211-1-3	4956726	130318	7	5166	7	130000	5000	hit	264
18	33	Response	61	4969146	142737	1						
18	34	Sound	P0/none	5002223	24999	1			25000		other	0
18	34	Sound	test13	5048723	71500	1			71500		other	0
18	34	Picture	3-221-1-3	5107541	130318	7	5166	7	130000	5000	hit	268
18	34	Response	62	5120666	143442	2						
18	35	Sound	P0/none	5153039	25000	1			25000		other	0
18	35	Sound	f11	5199539	71500	1			71500		other	0
18	35	Picture	2-111-1-2	5258357	130318	7	5166	7	130000	5000	miss	0
18	36	Response	51	5280826	1972	1						
18	36	Sound	P0/none	5303854	24999	1			25000		other	0
18	36	Sound	test17	5350354	71500	1			71500		other	0
18	36	Picture	2-211-2-2	5409172	130318	7	5166	7	130000	5000	incorrect	276
18	36	Response	52	5420026	141172	1						
18	37	Sound	P2/both1	5454669	24999	1			25000		other	0
18	37	Response	53	5456906	27236	1						
18	37	Response	53	5461306	31636	2						
18	37	Response	53	5466746	37076	1						
18	37	Response	53	5471946	42277	2						
18	37	Response	53	5478186	48516	2						
18	37	Response	53	5483066	53396	1						
18	37	Response	53	5488906	59237	1						
18	37	Response	53	5494986	65316	1						
18	37	Sound	f06	5501169	71500	1			71500		other	0
18	37	Picture	2-114-1-2	5559987	130318	7	5166	7	130000	5000	hit	288
18	37	Response	61	5570746	141076	1						
18	38	Sound	P2/both	5605484	24999	1			25000		other	0
18	38	Response	53	5608906	28421	1						
18	38	Response	53	5615546	35061	1						
18	38	Response	53	5622346	41861	1						
18	38	Response	53	5628106	47621	1						
18	38	Response	53	5634266	53782	1						
18	38	Response	53	5640266	59781	1						
18	38	Response	53	5646266	65781	1						
18	38	Sound	f24	5651984	71500	1			71500		other	0
18	38	Picture	3-114-1-3	5710802	130318	7	5166	7	130000	5000	hit	299
18	38	Response	61	5720025	139541	1						
18	39	Sound	P2/both	5756299	24999	1			25000		other	0
18	39	Response	53	5758346	27046	2						
18	39	Response	53	5762745	31446	1						
18	39	Response	53	5768426	37126	1						
18	39	Response	53	5773705	42406	1						
18	39	Response	53	5780026	48726	1						
18	39	Response	53	5785946	54646	1						
18	39	Response	53	5791946	60646	1						
18	39	Response	53	5797546	66246	1						
18	39	Sound	f08	5802799	71500	1			71500		other	0
18	39	Picture	2-114-1-2	5861617	130318	7	5166	7	130000	5000	hit	311
18	39	Response	61	5872665	141366	1						
18	40	Sound	P2/both	5907114	24999	1			25000		other	0
18	40	Response	53	5909385	27270	2						
18	40	Response	53	5913385	31270	1						
18	40	Response	53	5919226	37111	1						
18	40	Response	53	5924825	42710	1						
18	40	Response	53	5930426	48311	1						
18	40	Response	53	5936586	54471	2						
18	40	Response	53	5942265	60150	1						
18	40	Response	53	5948425	66310	1						
18	40	Sound	n04	5953615	71500	1			71500		other	0
18	40	Picture	2-224-1-2	6012433	130318	7	5166	7	130000	5000	hit	323
18	40	Response	62	6027225	145110	1						
18	41	Sound	P2/beat1	6057929	24999	1			25000		other	0
18	41	Sound	test09	6104430	71500	1			71500		other	0
18	41	Picture	2-223-1-2	6163248	130318	7	5166	7	130000	5000	hit	327
18	41	Response	62	6179545	146615	1						
18	42	Sound	P2/beat	6208745	24999	1			25000		other	0
18	42	Sound	test03	6255245	71500	1			71500		other	0
18	42	Picture	2-213-1-2	6314063	130318	7	5166	7	130000	5000	incorrect	331
18	42	Response	52	6329385	145640	1						
18	43	Sound	P2/beat	6359560	24999	1			25000		other	0
18	43	Sound	n10	6406060	71500	1			71500		other	0
18	43	Picture	3-123-1-3	6464878	130318	7	5166	7	130000	5000	hit	335
18	43	Response	62	6483865	149305	1						
18	44	Sound	P2/beat	6510375	25000	1			25000		other	0
18	44	Sound	test24	6556875	71500	1			71500		other	0
18	44	Picture	3-223-1-3	6615693	130318	7	5166	7	130000	5000	hit	339
18	44	Response	62	6628825	143449	1						
18	45	Sound	P1/tapping1	6661190	25000	1			25000		other	0
18	45	Response	53	6664505	28314	1						
18	45	Response	53	6669385	33194	1						
18	45	Response	53	6674425	38234	2						
18	45	Response	53	6679625	43434	1						
18	45	Response	53	6684905	48714	1						
18	45	Response	53	6690345	54154	1						
18	45	Response	53	6695785	59594	1						
18	45	Response	53	6701065	64874	2						
18	45	Response	53	6705945	69754	2						
18	45	Sound	f05	6707691	71500	1			71500		other	0
18	45	Picture	2-112-1-2	6766509	130318	7	5166	7	130000	5000	incorrect	352
18	45	Response	52	6781625	145434	1						
18	46	Response	53	6808824	21818	2						
18	46	Sound	P1/tapping	6812006	24999	1			25000		other	0
18	46	Response	53	6813705	26698	1						
18	46	Response	53	6818904	31898	1						
18	46	Response	53	6823864	36858	1						
18	46	Response	53	6829064	42058	1						
18	46	Response	53	6835145	48138	1						
18	46	Response	53	6840265	53258	1						
18	46	Response	53	6846025	59019	2						
18	46	Response	53	6850905	63898	1						
18	46	Response	53	6856185	69179	2						
18	46	Sound	f04	6858506	71500	1			71500		other	0
18	46	Picture	2-122-1-2	6917324	130318	7	5166	7	130000	5000	hit	366
18	46	Response	62	6932024	145018	1						
18	47	Sound	P1/tapping	6962826	25004	1			25000		other	0
18	47	Response	53	6964664	26843	1						
18	47	Response	53	6970024	32203	1						
18	47	Response	53	6975944	38123	1						
18	47	Response	53	6981544	43723	1						
18	47	Response	53	6986824	49003	1						
18	47	Response	53	6991944	54123	1						
18	47	Response	53	6997704	59883	1						
18	47	Response	53	7003464	65643	1						
18	47	Response	53	7008505	70684	2						
18	47	Sound	n13	7009321	71500	1			71500		other	0
18	47	Picture	3-222-1-3	7068139	130318	7	5166	7	130000	5000	hit	379
18	47	Response	62	7080824	143003	1						
18	48	Sound	P1/tapping	7113636	25000	1			25000		other	0
18	48	Response	53	7117144	28508	1						
18	48	Response	53	7121624	32988	1						
18	48	Response	53	7127464	38828	1						
18	48	Response	53	7132664	44028	1						
18	48	Response	53	7137464	48828	1						
18	48	Response	53	7142424	53788	1						
18	48	Response	53	7147464	58828	1						
18	48	Response	53	7152504	63868	1						
18	48	Response	53	7157224	68588	1						
18	48	Sound	f21	7160136	71500	1			71500		other	0
18	48	Picture	3-112-1-3	7218954	130318	7	5166	7	130000	5000	hit	392
18	48	Response	61	7230024	141387	1						
18	49	Sound	P0/none1	7264451	25000	1			25000		other	0
18	49	Sound	test25	7310952	71500	1			71500		other	0
18	49	Picture	3-211-1-3	7369769	130318	7	5166	7	130000	5000	hit	396
18	49	Response	61	7388664	149212	1						
18	50	Sound	P0/none	7415266	25000	1			25000		other	0
18	50	Sound	test12	7461767	71500	1			71500		other	0
18	50	Picture	2-221-1-2	7520585	130318	7	5166	7	130000	5000	hit	400
18	50	Response	62	7531065	140798	2						
18	51	Sound	P0/none	7566082	25000	1			25000		other	0
18	51	Sound	n03	7612582	71500	1			71500		other	0
18	51	Picture	2-111-1-2	7671400	130318	7	5166	7	130000	5000	incorrect	404
18	51	Response	52	7685384	144302	1						
18	52	Sound	P0/none	7716897	24999	1			25000		other	0
18	52	Sound	f23	7763397	71500	1			71500		other	0
